month,is_inserted,aoi_px,observed_px,observed_frac_of_aoi,p_native_wet_frac,p_resolved_wet_frac
1999-04,False,499979,489238,0.9785170977181041,0.008866850081146599,0.008676364407305107
1999-05,False,499979,489208,0.9784570951979983,0.009343673856519108,0.009142383980127166
1999-06,False,499979,489153,0.9783470905778042,0.0057446238702410085,0.005620236049914096
1999-07,False,499979,489201,0.9784430946099736,0.007446836780791536,0.0072863060248530434
1999-08,False,499979,489236,0.9785130975500971,0.006679802794561316,0.006536274523529988
1999-09,False,499979,489248,0.9785370985581394,0.004686784616390869,0.004586192620090044
1999-10,False,499979,489244,0.9785290982221253,0.005453311639999673,0.0053362241214131
1999-11,False,499979,161760,0.3235335884107132,0.001650593471810089,0.0005340224289420156
1999-12,False,499979,489224,0.9784890965420547,0.0053247592105047994,0.005210218829190826
2000-01,False,499979,469870,0.939779470737771,0.016015067997531232,0.015050632126549316
2000-02,False,499979,150209,0.3004306180859596,0.1069842685857705,0.032141349936697344
2000-03,False,499979,306288,0.6126017292726295,0.12903541764613696,0.07904731998743947
2000-04,False,499979,489238,0.9785170977181041,0.07818893871694349,0.07650921338696225
2000-05,False,499979,489205,0.9784510949459877,0.017111435901104855,0.016742703193534127
2000-06,False,499979,489150,0.9783410903257936,0.016240417049984666,0.01588866732402761
2000-07,False,499979,489168,0.9783770918378571,0.01397270467405881,0.013670574164114893
2000-08,False,499979,489227,0.9784950967940653,0.011767543492080363,0.01151448360831155
2000-09,False,499979,489254,0.9785490990621606,0.009011679005179313,0.008818370371555605
2000-10,False,499979,489224,0.9784890965420547,0.00837653099602636,0.008196344246458351
2000-11,False,499979,489233,0.9785070972980865,0.005463654332393767,0.00534622454143074
2000-12,False,499979,330985,0.6619978039077641,0.0015650256053899724,0.0010360435138275807
2001-01,False,499979,489241,0.9785230979701147,0.007538207141265757,0.007376309805011811
2001-02,False,499979,489031,0.9781030803293739,0.05549136966777157,0.05427627960374336
2001-03,False,499979,331715,0.6634578652303397,0.29098171623230784,0.19305410827254746
2001-04,False,499979,489210,0.9784610953660053,0.02223584963512602,0.021756913790379195
2001-05,False,499979,489224,0.9784890965420547,0.013960884993377267,0.013660573744097251
2001-06,False,499979,489176,0.9783930925098854,0.01207745269596219,0.0118164962928443
2001-07,False,499979,489147,0.978335090073783,0.012458422519201795,0.012188511917500535
2001-08,False,499979,489214,0.9784690957020195,0.009476425449803153,0.009272389440356495
2001-09,False,499979,489241,0.9785230979701147,0.007615878472981619,0.00745231299714588
2001-10,False,499979,489232,0.978505097214083,0.00704369297184158,0.006892289476157999
2001-11,False,499979,489245,0.9785310983061288,0.00592136863943423,0.005794243358221045
2001-12,False,499979,488090,0.9762210012820538,0.004906881927513368,0.0047902011884499145
2002-01,False,499979,489226,0.9784930967100618,0.008125079206746984,0.00795033391402439
2002-02,False,499979,471682,0.943403622952164,0.03515292082377534,0.033163392862500224
2002-03,False,499979,115206,0.23042167771046385,0.009452632675381491,0.0021780914798421535
2002-04,False,499979,489247,0.9785350984741359,0.010685809008537609,0.01045643917044516
2002-05,False,499979,489210,0.9784610953660053,0.009229165389096707,0.00903037927592959
2002-06,False,499979,489173,0.9783870922578748,0.008287456584889191,0.008108340550303112
2002-07,False,499979,489175,0.9783910924258818,0.007122195533295855,0.0069682926682920684
2002-08,False,499979,489203,0.9784470947779806,0.006195791930957087,0.006062254614693817
2002-09,False,499979,489153,0.9783470905778042,0.0030808356485598574,0.0030141265933169193
2002-10,False,499979,489133,0.9783070888977337,0.001606924905904938,0.0015720660267731245
2002-11,False,499979,489256,0.9785530992301676,0.0012386153670062299,0.0012120509061380577
2002-12,False,499979,489227,0.9784950967940653,0.003019048417196925,0.002954124073211075
2003-01,False,499979,331721,0.6634698657343608,0.00036777894676550473,0.0002440102484304341
2003-02,False,499979,466261,0.932561167569038,0.004988622252343644,0.004652195392206473
2003-03,False,499979,489240,0.9785210978861112,0.015456626604529474,0.015124635234679856
2003-04,False,499979,489224,0.9784890965420547,0.007287050512648603,0.007130299472577848
2003-05,False,499979,489191,0.9784230937699383,0.004807938003765401,0.004704197576298205
2003-06,True,602063,0,0.0,nan,0.0
2003-07,False,499979,489183,0.9784070930979101,0.0027310842772541154,0.002672112228713606
2003-08,False,499979,489202,0.9784450946939771,0.0017129938144161308,0.0016760703949565883
2003-09,False,499979,489230,0.9785010970460759,0.00123459313615273,0.0012080507381310014
2003-10,False,499979,489246,0.9785330983901324,0.0008952551477170994,0.0008760367935453289
2003-11,False,499979,489255,0.9785510991461641,0.0007705593197821178,0.0007540316693301119
2003-12,False,499979,489239,0.9785190978021077,0.0004476339784849532,0.00043801839677266445
2004-01,False,499979,487756,0.9755529732248754,0.005648315961259318,0.005510231429720049
2004-02,False,499979,405475,0.8109840613305759,0.038470929157161354,0.031199310371035585
2004-03,False,499979,489243,0.9785270981381218,0.026019789756828407,0.025461069364913328
2004-04,False,499979,489226,0.9784930967100618,0.012867263800370381,0.012590528802209693
2004-05,False,499979,489205,0.9784510949459877,0.010651976165411229,0.01042243774238518
2004-06,False,499979,489164,0.978369091501843,0.009256609235348472,0.009056380367975455
2004-07,False,499979,489174,0.9783890923418783,0.0065784363028288505,0.006436270323353581
2004-08,False,499979,489224,0.9784890965420547,0.004525534315569147,0.00442818598381132
2004-09,False,499979,489235,0.9785110974660935,0.0023383445583410834,0.0022880961000362014
2004-10,False,499979,489232,0.978505097214083,0.0014921346109821108,0.0014600613225755482
2004-11,False,499979,489245,0.9785310983061288,0.0010342466453412912,0.001012042505785243
2004-12,False,499979,489229,0.9784990969620724,0.000972959493406973,0.0009520399856793986
2005-01,False,499979,481839,0.9637184761759994,0.002498759959239497,0.0024081011402478903
2005-02,False,499979,489195,0.9784310941059524,0.006453459254489519,0.006314265199138364
2005-03,False,499979,489232,0.978505097214083,0.008548091702913955,0.008364351302754716
2005-04,False,499979,489256,0.9785530992301676,0.0043269781055316646,0.004234177835469089
2005-05,False,499979,489211,0.9784630954500089,0.002606237390410273,0.002550107104498389
2005-06,False,499979,489182,0.9784050930139065,0.0023897036276886723,0.002338098200124405
2005-07,False,499979,489192,0.9784250938539418,0.0015433612978135373,0.001510063422663752
2005-08,False,499979,489233,0.9785070972980865,0.0013347423415836625,0.0013060548543038807
2005-09,False,499979,489262,0.9785650997341888,0.0008952258708013293,0.0008760367935453289
